"","file_name","number_of_clusers_with_p_less_than_0.05","lowest_p_value"
"138","perm_221_Summary.of.stats_Random.Group.Allocation.csv",22,0.000230421225339537
"139","perm_222_Summary.of.stats_Random.Group.Allocation.csv",15,9.98304630728725e-05
"140","perm_223_Summary.of.stats_Random.Group.Allocation.csv",30,0.000106292467128337
"141","perm_224_Summary.of.stats_Random.Group.Allocation.csv",19,0.00011425584135167
"142","perm_225_Summary.of.stats_Random.Group.Allocation.csv",34,5.90530483669575e-05
"143","perm_226_Summary.of.stats_Random.Group.Allocation.csv",23,0.000428807338141115
"144","perm_227_Summary.of.stats_Random.Group.Allocation.csv",28,3.0013114854317e-05
"145","perm_228_Summary.of.stats_Random.Group.Allocation.csv",24,0.00162742494790167
"146","perm_229_Summary.of.stats_Random.Group.Allocation.csv",26,0.000450130031448813
"147","perm_23_Summary.of.stats_Random.Group.Allocation.csv",14,3.99076457821309e-05
"148","perm_230_Summary.of.stats_Random.Group.Allocation.csv",18,0.00409959543491622
"149","perm_231_Summary.of.stats_Random.Group.Allocation.csv",28,0.00258612848727222
"150","perm_232_Summary.of.stats_Random.Group.Allocation.csv",24,6.2282978062557e-05
"151","perm_233_Summary.of.stats_Random.Group.Allocation.csv",21,0.000236512103505432
"152","perm_234_Summary.of.stats_Random.Group.Allocation.csv",35,0.000459471251564224
"153","perm_235_Summary.of.stats_Random.Group.Allocation.csv",17,0.00149440395455918
"154","perm_236_Summary.of.stats_Random.Group.Allocation.csv",14,0.000192439337849241
"155","perm_237_Summary.of.stats_Random.Group.Allocation.csv",24,0.000673523386478377
"156","perm_238_Summary.of.stats_Random.Group.Allocation.csv",30,1.71429988103734e-05
"157","perm_239_Summary.of.stats_Random.Group.Allocation.csv",13,0.00200749989158871
"158","perm_24_Summary.of.stats_Random.Group.Allocation.csv",19,0.00139768494101444
"159","perm_240_Summary.of.stats_Random.Group.Allocation.csv",19,0.00257805684434686
"160","perm_241_Summary.of.stats_Random.Group.Allocation.csv",24,1.42142126583052e-05
"161","perm_242_Summary.of.stats_Random.Group.Allocation.csv",24,0.000683377242816488
"162","perm_243_Summary.of.stats_Random.Group.Allocation.csv",32,2.3542457446873e-05
"163","perm_244_Summary.of.stats_Random.Group.Allocation.csv",24,0.000488153697223328
"164","perm_245_Summary.of.stats_Random.Group.Allocation.csv",27,3.65880532122216e-05
